Model,Price,Rating,Specs,Company,Spec_Score
Hisense E7Q 55 inch Ultra HD 4K Smart QLED TV (55E7Q),"₹34,999",4.6,"55 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV30 W OutputHDR, Dolby Vision, High Frame Rate (HFR)3 HDMI Ports, 2 USB PortsDolby Atmos",flipkart,64
TCL C6K 55 inch Ultra HD 4K Smart Mini LED TV (55C6K),"₹54,990",4.35,"55 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputHDR, Dolby Vision3 HDMI PortsDolby Atmos",croma,66
TCL T6C 43 inch Ultra HD 4K Smart QLED TV (43T6C),"₹31,999",4.45,"43 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputCA75 + CA55 1.3GHz Processor, 2 GB RAM, 16 GB StorageHDR, Dolby Vision3 HDMI Ports, 1 USB Ports",flipkart,58
TCL Q6C 65 inch Ultra HD 4K Smart Mini LED TV (65Q6C),"₹69,990",4.2,"65 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W Output3 GB RAM, 32 GB StorageHDR, Dolby Vision, High Frame Rate (HFR)3 HDMI Ports, 1 USB Ports",amazon,72
Realme TechLife 55UHDGQRVSAQ 55 inch Ultra HD 4K Smart QLED TV,"₹25,999",4.5,"55 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 40 W OutputQuad Core Mediatek Processor Processor, 2 GB RAM, 32 GB StorageHDR, Dolby Vision3 HDMI Ports, 2 USB Ports",flipkart,56
TCL P7K 43 inch Ultra HD 4K Smart QLED TV (43P7K),"₹30,990",4.15,"43 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 30 W OutputCA75 + CA55 1.3GHz Processor, 2 GB RAM, 16 GB StorageHDR, Dolby Vision3 HDMI Ports, 2 USB Ports",flipkart,55
Xiaomi X Pro 2025 55 inch Ultra HD 4K Smart QLED TV (L55MB-APIN),"₹41,990",4.2,"55 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 34 W OutputQuad Core Processor, 2 GB RAM, 32 GB StorageHDR, Dolby Vision3 HDMI Ports, 2 USB Ports",amazon,63
TCL V5C 32 inch Full HD Smart QLED TV (32V5C),"₹15,490",4.15,"32 in, QLED TVFull HD, 1920 x 1080 pixelsWifi, EthernetSmart TV2 Speakers, 24 W OutputQuad Core Processor Processor, 1 GB RAM, 8 GB Storage2 HDMI Ports, 1 USB PortsDolby Audio",amazon,40
LG LR57 32 inch HD Ready Smart LED TV (32LR570B6LA),"₹14,690",4.65,"32 in, LED TV1366 x 768 pixelsWifi, EthernetSmart TV2 Speakers, 20 W Output1 GB RAM, 8 GB StorageHDR4 HDMI Ports, 2 USB Ports",flipkart,37
Foxsky 43FS 43 inch Ultra HD 4K Smart QLED TV,"₹13,999",4.15,"43 in, QLED TVFull HD, 1920 x 1080 pixelsWifiSmart TV2 Speakers, 30 W OutputQuad-Core Processor ProcessorHDR, Dolby Vision3 HDMI Ports, 2 USB Ports",flipkart,47
Xiaomi A Series 32 inch HD Ready Smart LED TV (L32M8-5AIN),"₹10,999",4.7,"32 in, LED TV1366 x 768 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputQuad Core Cortex A35 Processor, 1.5 GB RAM, 8 GB Storage2 HDMI Ports, 2 USB PortsDolby Audio",flipkart,38
TCL P7L 55 inch Ultra HD 4K Smart QLED TV (55P7L),"₹47,990",4.35,"55 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifiSmart TV2 Speakers, 20 W Output16 GB StorageHDR, Dolby Vision3 HDMI Ports, 2 USB Ports",croma,60
TCL P7L 65 inch Ultra HD 4K Smart QLED TV (65P7L),"₹64,990",4.3,"65 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifiSmart TV2 Speakers, 20 W Output16 GB StorageHDR, Dolby Vision3 HDMI Ports, 2 USB Ports",croma,63
Samsung R85H 65 inch Ultra HD 4K Smart Micro RGB TV (MRA65R85HAULXL),"₹1,62,990",4.25,"65 in, Micro RGB TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 30 W OutputHDR, High Frame Rate (HFR)4 HDMI Ports, 2 USB PortsDolby Atmos",flipkart,77
Blaupunkt 43FQC7090 43 inch Full HD Smart QLED TV,"₹17,499",4.7,"43 in, QLED TVFull HD, 1920 x 1080 pixelsWifi, EthernetSmart TV48 W Output1 GB RAM, 8 GB Storage3 HDMI Ports, 2 USB PortsSupports Apps & Games",flipkart,38
